ID,Name,Brand,Year,Gender,Rating,Votes,Main_Accords,Description,Top_Notes,Middle_Notes,Base_Notes,WhenToWear,Longevity,Sillage
1001,Liquid Brun,French Avenue,2024,male,4.47,"10,886","sweet:100.0%,warm_spicy:98.5%,vanilla:96.6%,cinnamon:79.1%,white_floral:62.5%,powdery:60.9%,citrus:59.5%,aromatic:58.2%,musky:57.1%,amber:52.8%","Liquid Brun by French Avenue is a Woody fragrance for men. Top notes are Cinnamon, Orange Blossom, Cardamom and Bergamot; middle notes are Bourbon Vanilla and Elemi; base notes are Praline, Ambroxan, Musk and Guaiac Wood.","Cinnamon, Orange Blossom, Cardamom, Bergamot","Bourbon Vanilla, Elemi","Praline, Ambroxan, Musk, Guaiac Wood","winter:75%,spring:50%,fall:70%,day:60%,night:80%",long lasting,moderate
1002,Emporio Armani Stronger With You Intensely,Giorgio Armani,2019,male,4.59,"22,979","vanilla:100.0%,sweet:92.2%,amber:71.9%,cinnamon:69.7%,warm_spicy:66.9%,powdery:58.9%,aromatic:56.6%,soft_spicy:54.7%,caramel:48.1%","Emporio Armani Stronger With You Intensely is an oriental-woody fragrance for men. Top notes are Pink Pepper, Juniper and Violet; middle notes are Toffee, Cinnamon, Lavender and Sage; base notes are Vanilla, Amber, Tonka Bean and Suede.","Pink Pepper, Juniper, Violet","Toffee, Cinnamon, Lavender, Sage","Vanilla, Amber, Tonka Bean, Suede","winter:80%,fall:85%,day:55%,night:90%",long lasting,strong
1003,Le Male Elixir,Jean Paul Gaultier,2023,male,4.52,"23,790","vanilla:100.0%,sweet:81.2%,honey:70.5%,aromatic:60.3%,amber:59.3%,lavender:54.1%,tobacco:50.2%,green:48.4%,fresh_spicy:46.4%,powdery:45.9%","Le Male Elixir by Jean Paul Gaultier is an Oriental Fougere fragrance for men. Top notes are Lavender and Mint; middle notes are Vanilla and Benzoin; base notes are Honey, Tonka Bean and Tobacco.","Lavender, Mint","Vanilla, Benzoin","Honey, Tonka Bean, Tobacco","winter:80%,fall:75%,spring:40%,day:50%,night:90%",eternal,strong
1004,Le Male Le Parfum,Jean Paul Gaultier,2020,male,4.6,"25,713","warm_spicy:100.0%,vanilla:79.8%,lavender:65.8%,aromatic:65.1%,powdery:64.8%,iris:63.0%,woody:58.3%,amber:55.5%,violet:46.5%","Le Male Le Parfum by Jean Paul Gaultier is an Oriental fragrance for men. Top note is Cardamom; middle notes are Lavender and Iris; base notes are Vanilla, Oriental notes and Woodsy Notes.",Cardamom,"Lavender, Iris","Vanilla, Oriental notes, Woodsy Notes","winter:75%,fall:80%,spring:45%,day:55%,night:85%",long lasting,strong
1005,Imagination,Louis Vuitton,2021,male,4.55,"10,939","citrus:100.0%,fresh_spicy:58.9%,fresh:52.2%,green:50.0%,amber:43.9%","Imagination by Louis Vuitton is a Citrus Aromatic fragrance for men. Top notes are Citron, Calabrian Bergamot and Sicilian Orange; middle notes are Tunisian Neroli, Nigerian Ginger and Ceylon Cinnamon; base notes are Chinese Black Tea, Ambroxan, Guaiac Wood and Olibanum.","Citron, Calabrian Bergamot, Sicilian Orange","Tunisian Neroli, Nigerian Ginger, Ceylon Cinnamon","Chinese Black Tea, Ambroxan, Guaiac Wood, Olibanum","spring:80%,summer:85%,fall:60%,day:90%,night:50%",long lasting,moderate
1006,Y Eau de Parfum,Yves Saint Laurent,2018,male,4.42,"25,902","aromatic:100.0%,fresh_spicy:98.2%,woody:81.3%,fruity:71.3%,amber:66.8%,fresh:66.7%,citrus:61.7%,herbal:57.6%,green:54.9%,warm_spicy:44.7%","Y Eau de Parfum by Yves Saint Laurent is an Aromatic Fougere fragrance for men. Top notes are Apple, Ginger and Bergamot; middle notes are Sage, Juniper Berries and Geranium; base notes are Amberwood, Tonka Bean, Cedar, Vetiver and Olibanum.","Apple, Ginger, Bergamot","Sage, Juniper Berries, Geranium","Amberwood, Tonka Bean, Cedar, Vetiver, Olibanum","winter:65%,spring:70%,summer:60%,fall:75%,day:80%,night:70%",long lasting,strong
1007,Club de Nuit Intense Man,Armaf,2015,male,4.09,"26,677","citrus:100.0%,fruity:71.1%,leather:62.0%,smoky:55.6%,woody:55.0%,aromatic:53.6%,sweet:51.5%,fresh:51.4%,musky:45.7%","Club de Nuit Intense Man by Armaf is a Woody Spicy fragrance for men. Top notes are Lemon, Pineapple, Bergamot, Black Currant and Apple; middle notes are Birch, Jasmine and Rose; base notes are Musk, Ambergris, Patchouli and Vanilla.","Lemon, Pineapple, Bergamot, Black Currant, Apple","Birch, Jasmine, Rose","Musk, Ambergris, Patchouli, Vanilla","winter:60%,spring:70%,summer:65%,fall:70%,day:75%,night:70%",long lasting,strong
1008,Althaïr,Parfums de Marly,2023,male,4.4,"10,007","sweet:100.0%,vanilla:96.5%,warm_spicy:86.6%,cinnamon:65.6%,aromatic:61.9%,musky:60.3%,powdery:60.1%,citrus:57.6%,amber:57.1%,white_floral:56.1%","Althaïr by Parfums de Marly is an Oriental Vanilla fragrance for men. Top notes are Cinnamon, Orange Blossom, Cardamom and Bergamot; middle notes are Bourbon Vanilla and Elemi; base notes are Praline, Musk, Ambroxan, Guaiac Wood, Tonka and Candied Almond.","Cinnamon, Orange Blossom, Cardamom, Bergamot","Bourbon Vanilla, Elemi","Praline, Musk, Ambroxan, Guaiac Wood, Tonka, Candied Almond","winter:85%,fall:80%,spring:40%,day:50%,night:85%",long lasting,strong
1009,Le Beau Le Parfum,Jean Paul Gaultier,2022,male,4.53,"16,505","sweet:100.0%,woody:97.5%,coconut:91.0%,amber:77.9%,vanilla:71.7%,tropical:68.4%,fruity:67.9%,powdery:57.7%,iris:51.9%,lactonic:51.4%","Le Beau Le Parfum by Jean Paul Gaultier is an Oriental Woody fragrance for men. Top notes are Pineapple, Iris, Ginger and Cypress; middle notes are Coconut and Woodsy Notes; base notes are Tonka Bean, Sandalwood, Amber and Ambergris.","Pineapple, Iris, Ginger, Cypress","Coconut, Woodsy Notes","Tonka Bean, Sandalwood, Amber, Ambergris","winter:60%,spring:70%,summer:75%,fall:65%,day:70%,night:75%",long lasting,strong
1010,Jazz Club,Maison Martin Margiela,2013,male,4.2,"19,799","tobacco:100.0%,sweet:88.8%,vanilla:83.0%,rum:82.6%,woody:71.5%,aromatic:67.1%,soft_spicy:64.1%,amber:51.3%,powdery:45.9%,warm_spicy:45.3%","Jazz Club by Maison Martin Margiela is a Leather fragrance for men. Top notes are Pink Pepper, Neroli and Lemon; middle notes are Rum, Java Vetiver Oil and Clary Sage; base notes are Tobacco Leaf, Vanilla Bean and Styrax.","Pink Pepper, Neroli, Lemon","Rum, Java Vetiver Oil, Clary Sage","Tobacco Leaf, Vanilla Bean, Styrax","winter:85%,fall:90%,day:55%,night:95%",long lasting,moderate
